[INFO] 13:08:35:176 CPU/(28898:28899): CPU conectada a Memoria, idCpu: 0
[INFO] 13:08:42:46 CPU/(28898:28899): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:08:47:203 CPU/(28898:28899): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:08:52:220 CPU/(28898:28899): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:08:57:224 CPU/(28898:28899): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:08:59:240 CPU/(28898:28899): Instruccion: INICIAR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:09:04:244 CPU/(28898:28899): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:09:09:247 CPU/(28898:28899): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:09:14:248 CPU/(28898:28899): Instruccion: QUANTUM, Proceso: 2, CPU: 0, exito: 1 
[INFO] 13:09:16:254 CPU/(28898:28899): Instruccion: INICIAR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:09:21:257 CPU/(28898:28899): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:12:06:537 CPU/(29037:29038): CPU conectada al Planificador, idCpu: 0
[INFO] 13:12:06:561 CPU/(29037:29038): CPU conectada a Memoria, idCpu: 0
[INFO] 13:12:13:660 CPU/(29037:29038): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:12:18:819 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:12:23:858 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:12:28:863 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:12:30:875 CPU/(29037:29038): Instruccion: INICIAR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:12:35:879 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:12:40:884 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:12:45:885 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 2, CPU: 0, exito: 1 
[INFO] 13:12:47:894 CPU/(29037:29038): Instruccion: INICIAR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:12:52:898 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:12:57:903 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:13:02:903 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:13:04:917 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:13:09:922 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:13:14:927 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:13:19:927 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:13:21:939 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:13:26:953 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Fallo 
[INFO] 13:13:31:956 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:13:36:962 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:13:41:969 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:13:46:970 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:13:48:980 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:13:53:982 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:13:58:985 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:14:03:985 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:14:05:991 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:14:10:993 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:14:15:996 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:14:20:997 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:14:23:10 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
